Time,Policies,FUM,Profit
0.0,1.0,10000.0,100.0
1.0,0.726,7768.2,77.682
2.0,0.5140890000000001,5885.804961000002,58.858049610000016
3.0,0.35489491199999995,4347.615276812159,43.476152768121594
4.0,0.23736773761599994,3111.4068336977966,31.11406833697797
5.0,0.15527305918244907,2177.7849788742756,21.777849788742756
6.0,0.09799832340789197,1470.6905836853787,14.706905836853787
7.0,0.06060711605322996,973.217843010552,9.73217843010552
8.0,0.036004060626969564,618.6167938708971,6.186167938708971
9.0,0.01801439850948199,331.18736895965077,3.3118736895965077
10.0,0.008258601109663364,162.45918382187406,1.6245918382187408
11.0,0.0033706127336037835,70.94640792772611,0.7094640792772612
12.0,0.0015417808854361731,34.72385942199922,0.3472385942199922
13.0,0.0007857521373404254,18.93540859556924,0.1893540859556924
14.0,0.00041130568049708137,10.60565743333488,0.10605657433334881
15.0,0.00021783257990686005,6.0100695855842075,0.06010069585584207
16.0,0.00011411137599774321,3.3687546751945456,0.033687546751945456
17.0,5.912140790606039e-05,1.867536025873293,0.01867536025873293
18.0,2.8406160852800906e-05,0.9601089989603191,0.009601089989603191
19.0,1.3387069862896485e-05,0.4841470677258651,0.004841470677258651
20.0,6.4158439152961835e-06,0.24827291512758162,0.0024827291512758165
21.0,3.1458198827035214e-06,0.1302546344440938,0.001302546344440938
22.0,1.5246697834780999e-06,0.06754899663324593,0.0006754899663324593
23.0,7.620502157647831e-07,0.03612521804921373,0.0003612521804921373
24.0,3.615183652420793e-07,0.018337538088960114,0.00018337538088960113
25.0,1.7756490874046564e-07,0.009637215814384467,9.637215814384468e-05
26.0,7.850682877135611e-08,0.004559168616924314,4.559168616924315e-05
27.0,3.4143115322784275e-08,0.0021216079908056794,2.1216079908056793e-05
28.0,1.058488197266452e-08,0.0007037716933566078,7.037716933566078e-06
29.0,1.5643548510779514e-09,0.0001112922252675791,1.112922252675791e-06
30.0,1.8765072653261062e-10,1.428445189307061e-05,1.428445189307061e-07
31.0,1.658198702953404e-11,1.35062156389732e-06,1.3506215638973201e-08
32.0,2.7018188202224177e-12,2.3547082666300062e-07,2.354708266630006e-09
33.0,3.691701543496542e-13,3.4426371164312575e-08,3.442637116431258e-10
34.0,4.8964930411196116e-14,4.885776349753837e-09,4.885776349753837e-11
35.0,6.364133234817974e-15,6.794718706048342e-10,6.794718706048342e-12
36.0,6.776595434400777e-16,7.741543447770867e-11,7.741543447770868e-13
37.0,7.059926173296052e-17,8.629784165122007e-12,8.629784165122008e-14
38.0,5.869771728704668e-18,7.677233756420398e-13,7.677233756420398e-15
39.0,4.2437648450724877e-19,5.93907268710717e-14,5.939072687107171e-16
40.0,2.334000223217523e-20,3.495038793927049e-15,3.495038793927049e-17
41.0,4.1804816296580148e-22,6.698247712465578e-17,6.698247712465579e-19
42.0,6.03444476430195e-24,1.034560705645714e-18,1.0345607056457139e-20
43.0,6.979976536816252e-26,1.2804316577094886e-20,1.2804316577094886e-22
44.0,6.437983707576496e-28,1.2636770302944315e-22,1.2636770302944315e-24
